geek_rate,title,num_votes,avg_rate,id
6.921,Formula D,12113,7.06,37904
6.916,K2,6442,7.14,73761
6.916,Union Pacific,3930,7.25,94
6.914,World Without End,3655,7.29,43528
6.914,Broom Service,3534,7.29,172308
6.913,Through the Desert,10552,7.05,503
6.912,Kingdom Builder,13134,7.03,107529
6.909,Tokaido,10348,7.08,123540
6.909,Medici,5692,7.15,46
6.909,The Downfall of Pompeii,5960,7.14,13004
6.908,Space Empires: 4X,2019,7.59,84419
6.908,XCOM: The Board Game,4918,7.21,163602
6.907,Heroscape Master Set: Swarm of the Marro,2005,7.63,27976
6.906,Legendary: Villains – A Marvel Deck Building Game,1776,7.75,156689
6.906,Smash Up: Science Fiction Double Feature,2711,7.45,151004
6.905,Tribune: Primus Inter Pares,3915,7.25,30957
6.905,Tash-Kalar: Arena of Legends,3935,7.26,146278
6.905,Homesteaders,3047,7.32,26566
6.905,Squad Leader,2677,7.47,1035
6.903,The Great Zimbabwe,1557,7.74,111341
6.901,Shakespeare,2167,7.53,180511
6.900,Panamax,2510,7.42,131287
6.898,Ca$h 'n Guns (Second Edition),7127,7.10,155362
6.898,Mare Nostrum: Empires,1594,7.80,174785
6.896,Argent: The Consortium,1467,7.82,144797
6.892,Reef Encounter,4595,7.17,12962
6.892,Conflict of Heroes: Awakening the Bear! (second edition),1133,8.13,132028
6.891,Spyrium,4625,7.17,137269
6.891,Bridge,2591,7.48,2181
6.886,Port Royal,5181,7.16,156009
6.886,Genoa,5453,7.15,1345
6.884,ZÈRTZ,3252,7.31,528
6.883,Polis: Fight for the Hegemony,1487,7.79,69779
6.882,Elder Sign,15211,7.02,100423
6.881,Brew Crafters,1643,7.67,139898
6.878,BANG! The Dice Game,10451,7.03,143741
6.877,Jambo,7286,7.06,12002
6.870,Maharaja: The Game of Palace Building in India,4460,7.17,9440
6.870,Conan,1530,8.09,160010
6.868,Onirim (second edition),2837,7.37,156336
6.868,Coal Baron,2958,7.32,143515
6.867,Web of Power,3043,7.31,491
6.866,Coloretto,13756,6.97,5782
6.866,Summoner Wars: Alliances Master Set,927,8.35,158889
6.866,Flick 'em Up!,3866,7.21,169124
6.865,Core Worlds,3283,7.26,98351
6.861,Carcassonne: The City,3784,7.21,12902
6.861,Thunderstone: Dragonspire,2411,7.40,85897
6.861,Tragedy Looper,2610,7.38,148319
6.861,Ascension: Storm of Souls,2783,7.37,108784
6.861,Saint Petersburg (second edition),1631,7.64,156943
6.860,Blue Moon City,6737,7.06,21882
6.860,Mystic Vale,2852,7.34,194607
6.859,San Marco,3805,7.19,1041
6.859,Ascension: Deckbuilding Game,8726,7.05,69789
6.858,The Colonists,1162,8.01,192836
6.857,Stronghold,3112,7.27,45986
6.856,Cuba Libre,1341,7.81,111799
6.856,Carcassonne: The Castle,6413,7.09,7717
6.856,Legacy: The Testament of Duke de Crecy,3028,7.28,52461
6.853,Star Wars: The Queen's Gambit,1874,7.56,939
6.852,Santiago,4305,7.15,8125
6.852,D-Day at Omaha Beach,961,8.23,29603
6.852,Louis XIV,4978,7.12,13642
6.852,Vinhos Deluxe Edition,774,8.48,175640
6.851,Tyrants of the Underdark,1190,7.99,189932
6.850,Hawaii,3335,7.22,106217
6.850,Dungeons & Dragons: Wrath of Ashardalon Board Game,4462,7.22,66356
6.849,Agricola (Revised Edition),901,8.43,200680
6.848,Diplomacy,9833,7.07,483
6.847,Wits & Wagers,9987,6.99,20100
6.844,Between Two Cities,4763,7.12,168435
6.842,Thunderstone,8979,7.01,53953
6.842,Lords of Xidit,2906,7.28,156566
6.842,Last Night on Earth: The Zombie Game,12003,7.03,29368
6.838,CO₂,2927,7.27,72225
6.838,Blokus,16857,6.94,2453
6.837,Thunder Alley,2194,7.44,108906
6.837,Britannia,3582,7.23,240
6.834,Triumph & Tragedy,853,8.39,130960
6.833,Empires: Age of Discovery,996,8.08,173442
6.832,Hyperborea,2734,7.33,119788
6.829,Ascension: Return of the Fallen,2667,7.35,95064
6.829,Finca,5576,7.06,40628
6.827,Conflict of Heroes: Storms of Steel! – Kursk 1943,1349,7.79,38823
6.826,Harry Potter: Hogwarts Battle,1809,7.68,199042
6.826,Potion Explosion,3330,7.24,180974
6.825,Skull,5464,7.06,92415
6.825,Netrunner,2110,7.47,1301
6.825,Kingdomino,2032,7.47,204583
6.825,Antike,4296,7.13,19600
6.821,The Palaces of Carrara,2771,7.26,129948
6.819,La Città,4644,7.10,554
6.819,Aeon's End,1151,8.20,191189
6.817,Battles of Westeros,2374,7.39,67492
6.817,Cacao,3997,7.14,171499
6.815,Runebound (Third Edition),1776,7.61,181530
6.814,BattleCON: War of Indines,1236,7.86,89409
6.814,Red7,6340,7.02,161417
6.812,Las Vegas,4927,7.07,117959
6.812,Space Hulk: Death Angel – The Card Game,9614,6.99,71721
6.809,Concept,7993,6.98,147151
6.808,Tide of Iron,3445,7.26,22825
6.808,Super Motherload,1539,7.59,162286
6.808,Smash Up: Pretty Pretty Smash Up,1964,7.49,168917
6.805,Merchant of Venus (second edition),2885,7.24,131646
6.805,Dream Factory,4421,7.08,904
6.804,Attika,5945,7.03,8051
