ID,bookID,chapterInBook,url,title,povID,ChapterRating
43,0,43,/index.php/A_Game_of_Thrones-Chapter_43,Eddard XI,456,9.03
44,0,44,/index.php/A_Game_of_Thrones-Chapter_44,Sansa III,1530,6.66
45,0,45,/index.php/A_Game_of_Thrones-Chapter_45,Eddard XII,456,9.1
46,0,46,/index.php/A_Game_of_Thrones-Chapter_46,Daenerys V,352,8.9
47,0,47,/index.php/A_Game_of_Thrones-Chapter_47,Eddard XIII,456,8.92
48,0,48,/index.php/A_Game_of_Thrones-Chapter_48,Jon VI,851,7.62
49,0,49,/index.php/A_Game_of_Thrones-Chapter_49,Eddard XIV,456,9.19
50,0,50,/index.php/A_Game_of_Thrones-Chapter_50,Arya IV,136,8.92
51,0,51,/index.php/A_Game_of_Thrones-Chapter_51,Sansa IV,1530,7.23
52,0,52,/index.php/A_Game_of_Thrones-Chapter_52,Jon VII,851,8.48
53,0,53,/index.php/A_Game_of_Thrones-Chapter_53,Bran VI,240,7.89
54,0,54,/index.php/A_Game_of_Thrones-Chapter_54,Daenerys VI,352,8.61
55,0,55,/index.php/A_Game_of_Thrones-Chapter_55,Catelyn VIII,287,7.36
56,0,56,/index.php/A_Game_of_Thrones-Chapter_56,Tyrion VII,1716,8.13
57,0,57,/index.php/A_Game_of_Thrones-Chapter_57,Sansa V,1530,7.01
58,0,58,/index.php/A_Game_of_Thrones-Chapter_58,Eddard XV,456,9.09
59,0,59,/index.php/A_Game_of_Thrones-Chapter_59,Catelyn IX,287,8.2
60,0,60,/index.php/A_Game_of_Thrones-Chapter_60,Jon VIII,851,8.41
61,0,61,/index.php/A_Game_of_Thrones-Chapter_61,Daenerys VII,352,7.77
62,0,62,/index.php/A_Game_of_Thrones-Chapter_62,Tyrion VIII,1716,7.91
63,0,63,/index.php/A_Game_of_Thrones-Chapter_63,Catelyn X,287,8.05
64,0,64,/index.php/A_Game_of_Thrones-Chapter_64,Daenerys VIII,352,8.09
65,0,65,/index.php/A_Game_of_Thrones-Chapter_65,Arya V,136,8.87
66,0,66,/index.php/A_Game_of_Thrones-Chapter_66,Bran VII,240,7.74
67,0,67,/index.php/A_Game_of_Thrones-Chapter_67,Sansa VI,1530,7.49
68,0,68,/index.php/A_Game_of_Thrones-Chapter_68,Daenerys IX,352,7.6
69,0,69,/index.php/A_Game_of_Thrones-Chapter_69,Tyrion IX,1716,8.42
70,0,70,/index.php/A_Game_of_Thrones-Chapter_70,Jon IX,851,8.25
71,0,71,/index.php/A_Game_of_Thrones-Chapter_71,Catelyn XI,287,8.63
72,0,72,/index.php/A_Game_of_Thrones-Chapter_72,Daenerys X,352,9.09
73,1,0,/index.php/A_Clash_of_Kings-Prologue,Prologue,1046,8.34
74,1,1,/index.php/A_Clash_of_Kings-Chapter_1,Arya I,136,7.75
75,1,2,/index.php/A_Clash_of_Kings-Chapter_2,Sansa I,1530,7.83
76,1,3,/index.php/A_Clash_of_Kings-Chapter_3,Tyrion I,1716,8.69
77,1,4,/index.php/A_Clash_of_Kings-Chapter_4,Bran I,240,7.07
78,1,5,/index.php/A_Clash_of_Kings-Chapter_5,Arya II,136,8.05
79,1,6,/index.php/A_Clash_of_Kings-Chapter_6,Jon I,851,7.8
80,1,7,/index.php/A_Clash_of_Kings-Chapter_7,Catelyn I,287,7.51
81,1,8,/index.php/A_Clash_of_Kings-Chapter_8,Tyrion II,1716,8.74
82,1,9,/index.php/A_Clash_of_Kings-Chapter_9,Arya III,136,7.7
83,1,10,/index.php/A_Clash_of_Kings-Chapter_10,Davos I,385,8.72
84,1,11,/index.php/A_Clash_of_Kings-Chapter_11,Theon I,1648,8.28
85,1,12,/index.php/A_Clash_of_Kings-Chapter_12,Daenerys I,352,7.4
86,1,13,/index.php/A_Clash_of_Kings-Chapter_13,Jon II,851,6.49
87,1,14,/index.php/A_Clash_of_Kings-Chapter_14,Arya IV,136,8.68
88,1,15,/index.php/A_Clash_of_Kings-Chapter_15,Tyrion III,1716,8.4
89,1,16,/index.php/A_Clash_of_Kings-Chapter_16,Bran II,240,7.3
90,1,17,/index.php/A_Clash_of_Kings-Chapter_17,Tyrion IV,1716,8.79
91,1,18,/index.php/A_Clash_of_Kings-Chapter_18,Sansa II,1530,7.49
92,1,19,/index.php/A_Clash_of_Kings-Chapter_19,Arya V,136,7.85
93,1,20,/index.php/A_Clash_of_Kings-Chapter_20,Tyrion V,1716,8.39
94,1,21,/index.php/A_Clash_of_Kings-Chapter_21,Bran III,240,7.64
95,1,22,/index.php/A_Clash_of_Kings-Chapter_22,Catelyn II,287,8.3
96,1,23,/index.php/A_Clash_of_Kings-Chapter_23,Jon III,851,7
97,1,24,/index.php/A_Clash_of_Kings-Chapter_24,Theon II,1648,8.26
98,1,25,/index.php/A_Clash_of_Kings-Chapter_25,Tyrion VI,1716,8.7
99,1,26,/index.php/A_Clash_of_Kings-Chapter_26,Arya VI,136,7.78
100,1,27,/index.php/A_Clash_of_Kings-Chapter_27,Daenerys II,352,7.37
101,1,28,/index.php/A_Clash_of_Kings-Chapter_28,Bran IV,240,7.57
102,1,29,/index.php/A_Clash_of_Kings-Chapter_29,Tyrion VII,1716,7.91
103,1,30,/index.php/A_Clash_of_Kings-Chapter_30,Arya VII,136,8.05
104,1,31,/index.php/A_Clash_of_Kings-Chapter_31,Catelyn III,287,8.21
105,1,32,/index.php/A_Clash_of_Kings-Chapter_32,Sansa III,1530,7.93
106,1,33,/index.php/A_Clash_of_Kings-Chapter_33,Catelyn IV,287,8.61
107,1,34,/index.php/A_Clash_of_Kings-Chapter_34,Jon IV,851,6.83
108,1,35,/index.php/A_Clash_of_Kings-Chapter_35,Bran V,240,7.9
109,1,36,/index.php/A_Clash_of_Kings-Chapter_36,Tyrion VIII,1716,8.07
110,1,37,/index.php/A_Clash_of_Kings-Chapter_37,Theon III,1648,7.88
111,1,38,/index.php/A_Clash_of_Kings-Chapter_38,Arya VIII,136,7.67
112,1,39,/index.php/A_Clash_of_Kings-Chapter_39,Catelyn V,287,7.56
113,1,40,/index.php/A_Clash_of_Kings-Chapter_40,Daenerys III,352,6.93
114,1,41,/index.php/A_Clash_of_Kings-Chapter_41,Tyrion IX,1716,8.25
